x-axis,,
second,Geoscope,Accelerometer
-5.00E+00,-4.12E-03,3.87E-03
-5.00E+00,-4.12E-03,3.87E-03
-4.99E+00,-4.12E-03,2.00E-02
-4.99E+00,3.92E-03,2.00E-02
-4.98E+00,3.92E-03,2.00E-02
-4.98E+00,3.92E-03,1.19E-02
-4.97E+00,-4.12E-03,1.19E-02
-4.97E+00,-4.12E-03,3.87E-03
-4.96E+00,-4.12E-03,2.00E-02
-4.96E+00,3.92E-03,1.19E-02
-4.95E+00,3.92E-03,1.19E-02
-4.95E+00,-4.12E-03,1.19E-02
-4.94E+00,-4.12E-03,1.19E-02
-4.94E+00,-4.12E-03,2.00E-02
-4.93E+00,3.92E-03,2.00E-02
-4.93E+00,3.92E-03,2.00E-02
-4.92E+00,3.92E-03,1.19E-02
-4.92E+00,-1.22E-02,-4.17E-03
-4.91E+00,-1.22E-02,-4.17E-03
-4.91E+00,-4.12E-03,3.60E-02
-4.90E+00,3.92E-03,2.80E-02
-4.90E+00,1.20E-02,3.87E-03
-4.89E+00,3.92E-03,3.87E-03
-4.89E+00,-4.12E-03,3.87E-03
-4.88E+00,-4.12E-03,1.19E-02
-4.88E+00,-4.12E-03,3.87E-03
-4.87E+00,3.92E-03,2.80E-02
-4.87E+00,3.92E-03,1.19E-02
-4.86E+00,-4.12E-03,3.87E-03
-4.86E+00,-1.22E-02,1.19E-02
-4.85E+00,-4.12E-03,2.00E-02
-4.85E+00,3.92E-03,2.00E-02
-4.84E+00,1.20E-02,1.19E-02
-4.84E+00,3.92E-03,1.19E-02
-4.83E+00,-4.12E-03,3.87E-03
-4.83E+00,-1.22E-02,-4.17E-03
-4.82E+00,-1.22E-02,3.87E-03
-4.82E+00,-4.12E-03,2.80E-02
-4.81E+00,3.92E-03,2.80E-02
-4.81E+00,3.92E-03,3.87E-03
-4.80E+00,-4.12E-03,-4.17E-03
-4.80E+00,-4.12E-03,-4.17E-03
-4.79E+00,-4.12E-03,1.19E-02
-4.79E+00,-4.12E-03,2.00E-02
-4.78E+00,3.92E-03,2.00E-02
-4.78E+00,3.92E-03,3.87E-03
-4.77E+00,3.92E-03,1.19E-02
-4.77E+00,-4.12E-03,1.19E-02
-4.76E+00,-4.12E-03,1.19E-02
-4.76E+00,3.92E-03,2.00E-02
-4.75E+00,3.92E-03,2.00E-02
-4.75E+00,-4.12E-03,3.87E-03
-4.74E+00,-4.12E-03,3.87E-03
-4.74E+00,-1.22E-02,3.87E-03
-4.73E+00,-1.22E-02,1.19E-02
-4.73E+00,-4.12E-03,2.00E-02
-4.72E+00,3.92E-03,1.19E-02
-4.72E+00,3.92E-03,1.19E-02
-4.71E+00,3.92E-03,1.19E-02
-4.71E+00,3.92E-03,1.19E-02
-4.70E+00,-4.12E-03,1.19E-02
-4.70E+00,3.92E-03,1.19E-02
-4.69E+00,-4.12E-03,3.87E-03
-4.69E+00,-4.12E-03,1.19E-02
-4.68E+00,3.92E-03,1.19E-02
-4.68E+00,3.92E-03,1.19E-02
-4.67E+00,3.92E-03,1.19E-02
-4.67E+00,3.92E-03,1.19E-02
-4.66E+00,-4.12E-03,1.19E-02
-4.66E+00,-4.12E-03,2.00E-02
-4.65E+00,-4.12E-03,1.19E-02
-4.65E+00,-4.12E-03,1.19E-02
-4.64E+00,-4.12E-03,1.19E-02
-4.64E+00,-4.12E-03,1.19E-02
-4.63E+00,-4.12E-03,1.19E-02
-4.63E+00,3.92E-03,2.00E-02
-4.62E+00,3.92E-03,1.19E-02
-4.62E+00,3.92E-03,1.19E-02
-4.61E+00,-4.12E-03,1.19E-02
