iter	RMSE
0	1.423455996
1	1.383036408
2	1.349571678
3	1.315503514
4	1.287843531
5	1.253686827
6	1.225479229
7	1.200278101
8	1.173428614
9	1.148206581
10	1.118631095
11	1.085166921
12	1.059179749
13	1.035894947
14	1.012142872
15	0.9897845032
16	0.965154757
17	0.9392788541
18	0.9254034406
19	0.9012953653
20	0.8804666165
21	0.8540701543
22	0.8412722087
23	0.8190982265
24	0.7948660497
25	0.7714284993
26	0.7573292036
27	0.7466637224
28	0.7284400181
29	0.7081355149
30	0.6948121077
31	0.6809969589
32	0.6749722106
33	0.6596277158
34	0.6444737878
35	0.6339227333
36	0.6181508218
37	0.5985605676
38	0.5823968291
39	0.566065423
40	0.5534766702
41	0.53039051
42	0.5158120353
43	0.5056014026
44	0.4931690414
