iter	Passed	Remaining
0	29	2939
1	52	2571
2	79	2582
3	104	2503
4	130	2477
5	154	2423
6	182	2420
7	204	2353
8	229	2315
9	253	2281
10	282	2286
11	309	2267
12	335	2243
13	362	2226
14	387	2197
15	415	2178
16	443	2163
17	469	2138
18	496	2117
19	522	2088
20	548	2062
21	576	2042
22	601	2014
23	627	1986
24	655	1967
25	680	1937
26	703	1903
27	728	1872
28	753	1844
29	778	1817
30	802	1787
31	831	1767
32	859	1745
33	873	1694
34	898	1669
35	925	1645
36	955	1626
37	980	1599
38	1007	1575
39	1035	1553
40	1060	1525
41	1088	1502
42	1111	1473
43	1134	1444
44	1159	1417
45	1183	1389
46	1208	1363
47	1234	1337
48	1260	1312
49	1285	1285
50	1312	1260
51	1336	1233
52	1362	1208
53	1388	1182
54	1395	1141
55	1419	1115
56	1448	1092
57	1475	1068
58	1505	1046
59	1534	1023
60	1562	998
61	1591	975
62	1617	949
63	1640	922
64	1662	894
65	1686	868
66	1708	841
67	1735	816
68	1761	791
69	1786	765
70	1811	739
71	1835	713
72	1861	688
73	1885	662
74	1909	636
75	1935	611
76	1963	586
77	1990	561
78	2019	536
79	2046	511
80	2073	486
81	2101	461
82	2128	435
83	2152	409
84	2177	384
85	2201	358
86	2228	333
87	2254	307
88	2282	282
89	2311	256
90	2337	231
91	2364	205
92	2392	180
93	2417	154
94	2441	128
95	2467	102
96	2493	77
97	2515	51
98	2544	25
99	2574	0
